start_date,end_date,start_msoa,end_msoa,hour_part,journey_purpose,journey_purpose_direction,journey_mode,avg_duration,avg_distance,avg_daily_trips
4/15/2024,4/19/2024,E02000633,E02000972,10,Commute,OB_HBW,Rail,31,6802,2
4/15/2024,4/19/2024,E02000633,E02000972,9,Other,NHBO,Other,18,6233,2
4/15/2024,4/19/2024,E02000633,E02000972,11,Other,NHBO,Other,11,6422,2
4/15/2024,4/19/2024,E02000633,E02000972,21,Other,NHBO,Other,10,5368,2
4/15/2024,4/19/2024,E02000633,E02000972,22,Other,NHBO,Other,11,6044,2
4/15/2024,4/19/2024,E02000633,E02000972,20,Other,NHBO,Other,20,5763,2
4/15/2024,4/19/2024,E02000633,E02000972,13,Other,NHBO,Other,22,6545,3
4/15/2024,4/19/2024,E02000633,E02000972,16,Other,NHBO,Other,8,6513,3
4/15/2024,4/19/2024,E02000633,E02000972,18,Other,NHBO,Other,18,6253,3
4/15/2024,4/19/2024,E02000633,E02000972,19,Other,NHBO,Other,12,5887,2
4/15/2024,4/19/2024,E02000633,E02000972,17,Other,NHBO,Other,15,5939,5
4/15/2024,4/19/2024,E02000633,E02000972,12,Other,NHBO,Other,11,5753,2
4/15/2024,4/19/2024,E02000633,E02000972,17,Other,NHBW,Other,15,6303,2
4/15/2024,4/19/2024,E02000633,E02000972,12,Other,NHBW,Other,35,6452,2
4/15/2024,4/19/2024,E02000633,E02000972,11,Other,NHBW,Other,17,6770,2
4/15/2024,4/19/2024,E02000633,E02000972,7,Other,NHBW,Other,14,6506,2
4/15/2024,4/19/2024,E02000633,E02000972,6,Other,NHBW,Other,15,6552,2
4/15/2024,4/19/2024,E02000633,E02000972,16,Other,NHBW,Other,6,5893,2
4/15/2024,4/19/2024,E02000633,E02000972,14,Other,NHBW,Other,16,6562,2
4/15/2024,4/19/2024,E02000633,E02000972,18,Other,NHBW,Other,21,6123,2
4/15/2024,4/19/2024,E02000633,E02000972,9,Other,NHBW,Other,10,6078,4
4/15/2024,4/19/2024,E02000633,E02000972,8,Other,NHBW,Other,15,6809,4
4/15/2024,4/19/2024,E02000633,E02000972,23,Commute,IB_HBW,Other,14,6222,2
4/15/2024,4/19/2024,E02000633,E02000972,22,Commute,IB_HBW,Other,19,6222,2
4/15/2024,4/19/2024,E02000633,E02000972,1,Other,OB_HBO,Other,12,5990,2
4/15/2024,4/19/2024,E02000633,E02000972,12,Other,OB_HBO,Other,16,6289,3
4/15/2024,4/19/2024,E02000633,E02000972,15,Other,OB_HBO,Other,14,6417,2
4/15/2024,4/19/2024,E02000633,E02000972,18,Other,OB_HBO,Other,16,6207,16
4/15/2024,4/19/2024,E02000633,E02000972,4,Other,OB_HBO,Other,23,6540,3
4/15/2024,4/19/2024,E02000633,E02000972,7,Other,OB_HBO,Other,14,6568,7
4/15/2024,4/19/2024,E02000633,E02000972,11,Other,OB_HBO,Other,20,6304,6
4/15/2024,4/19/2024,E02000633,E02000972,10,Other,OB_HBO,Other,16,6335,4
4/15/2024,4/19/2024,E02000633,E02000972,14,Other,OB_HBO,Other,15,6324,7
4/15/2024,4/19/2024,E02000633,E02000972,20,Other,OB_HBO,Other,13,6448,2
4/15/2024,4/19/2024,E02000633,E02000972,19,Other,OB_HBO,Other,16,6187,4
4/15/2024,4/19/2024,E02000633,E02000972,9,Other,OB_HBO,Other,16,6596,3
4/15/2024,4/19/2024,E02000633,E02000972,17,Other,OB_HBO,Other,16,6144,10
4/15/2024,4/19/2024,E02000633,E02000972,8,Other,OB_HBO,Other,21,6616,6
4/15/2024,4/19/2024,E02000633,E02000972,6,Other,OB_HBO,Other,18,6424,2
